Have a rich vocabulary.,1,Intellect,0.86
Do more than what's expected of me.,1,Achievement-Striving,0.78
Do not have a good imagination.,-1,Imagination,0.83
Don't understand things.,-1,Self-Efficacy,0.78
Let things proceed at their own pace.,-1,Activity-Level,0.71
Am often in a bad mood.,1,Anger,0.88
Do things I later regret.,1,Immoderation,0.77
Use others for my own ends.,-1,Morality,0.75
Express childlike joy.,1,Cheerfulness,0.81
See beauty in things that others might not notice.,1,Aesthetic Appreciation/Artistic Interests,0.84
Dislike talking about myself.,1,Modesty/Humility,0.77
Think highly of myself.,-1,Modesty/Humility,0.77
Take control of things.,1,Assertiveness,0.84
Enjoy being part of a group.,1,Gregariousness,0.79
Seek danger.,1,Excitement-Seeking,0.78
Seldom daydream.,-1,Imagination,0.83
Prefer to be alone.,-1,Gregariousness,0.79
Find it difficult to get down to work.,-1,Self-Discipline,0.85
Believe that there is no absolute right or wrong.,1,Liberalism,0.86
Love life.,1,Cheerfulness,0.81
Hold a grudge.,-1,Cooperation,0.73
Like to act on a whim.,-1,Cautiousness,0.76
Listen to my conscience.,1,Dutifulness,0.71
Hold back my opinions.,-1,Assertiveness,0.84
Avoid philosophical discussions.,-1,Intellect,0.86
Feel desperate.,1,Depression,0.88
Am not interested in theoretical discussions.,-1,Intellect,0.86
Believe in human goodness.,1,Trust,0.82
Boast about my virtues.,-1,Modesty/Humility,0.77
Have little to say.,-1,Assertiveness,0.84
Know the answers to many questions.,-1,Modesty/Humility,0.77
Like a leisurely lifestyle.,-1,Activity-Level,0.71
Get stressed out easily.,1,Anxiety,0.83
Make friends easily.,1,Friendliness,0.87
Know how to cope.,-1,Vulnerability,0.82
Seek adventure.,1,Excitement-Seeking,0.78
Don't like crowded events.,-1,Gregariousness,0.79
Indulge in my fantasies.,1,Imagination,0.83
Am attached to conventional ways.,-1,Adventurousness,0.77
Value cooperation over competition.,1,Sympathy,0.75
Dislike loud music.,-1,Excitement-Seeking,0.78
Am afraid that I will do the wrong thing.,1,Self-consciousness,0.80
Love order and regularity.,1,Orderliness,0.82
Plunge into tasks with all my heart.,1,Achievement-Striving,0.78
Keep my cool.,-1,Anger,0.88
Rarely get irritated.,-1,Anger,0.88
Panic easily.,1,Vulnerability,0.82
Sympathize with the homeless.,1,Sympathy,0.75
Break my promises.,-1,Dutifulness,0.71
